Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
Puma,Kids Reflect Lite Masked Hero Youth Sneakers,₹3599,MRP ₹3999,(10% OFF),4.5,43 Ratings,"FEATURES & BENEFITS :
The upper of the shoes is made with at least 50% recycled materials
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
PRODUCT DESIGN DETAILS:
A pair of white & black printed round toe shoes, has regular styling
Closure: lace-up
Midsole drop: Regular
Main materials: Textile, Rubber
PUMA Youth:
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
PRODUCT STORY :
The reflect lite is puma's most exciting new performance essential shoe, highlighted by our new foam technology puma lite. Puma lite is an ultra-lightweight foam compound that features at least 10% recycled eva content. The upper features a fresh execution of our formstrip branding and a supportive cage design element. This lightweight running shoe is sure to have you putting you foot forward on your next run chasing bad villain thanks to its graphics with lightning bolts, masks, and other heroic details, and energetic colors for little superheroes everywhere.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,Road Running,Medium,All-Rounder,2,1 pair of sports shoes,3 months,
Puma,Kids ULTRA PLAY Youth Turf Trainers,₹3399,MRP ₹3999,(15% OFF),4.3,46 Ratings,"Product Design Details: 
A pair of black football shoes, has regular styling, lace-ups detail
Synthetic upper
Regular tongue construction
Low-profile multi-studded rubber outsole
TT: Turf Training
PUMA Form strip on the lateral side
Warranty: 3 months 
Warranty provided by brand owner/manufacturer
About Puma ULTRA PLAY Youth Turf Trainers 
Turn seconds into records with the ULTRA Play football boot. It features a lightweight synthetic upper fused to a turf training outsole that ensures optimal traction and propulsion. Not even you knew you could be this fast.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,,Flat,Medium,,Long,Turf Trainer,,,3 months,
Puma,Girls SOFT Sophia Running Shoes,₹3239,MRP ₹4499,(28% OFF),4.3,64 Ratings,"Special Technology
CMEVA: PUMA's compression-moulded EVA material for lightweight performance,
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day 
Product Design Details
A pair of grey shoes, has regular styling, lace-ups detail
Low-boot construction
Cushioned footbed for optimum step-in comfort
Cushioned midsole for comfort
Zoned non-marking rubber outsole pods for grip
Synthetic cage lacing system for optimum fit
PUMA Wordmark on tongue
PUMA Cat Logo on lateral side
PUMA Kids style: Recommended for young kids between 4 and 8 years
Warranty: 3 months against manufacturing defects only
Warranty provided by the brand owner/manufacturer
About the shoe
Say hello to the Softride Sophia Trainers from PUMA's trusted Softride range. In these adorable shoes, your kid can explore in style without compromising on comfort. PUMA's compression-moulded EVA material in the midsole will support their feet, while our SoftFoam+ sockliner provides cushioning for every step of their day. Zoned rubber pods on the outsole will prevent them from slipping. Featuring an attractive silhouette and bold PUMA Cat Logo branding, these eye-catching kicks will introduce your kid to the future of casual-cool streetstyle.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,Flat,Medium,Road Running,,All-Rounder,,,3 months,
Puma,Boys EvoSpeed V2 Youth Cricket Shoes,₹2519,MRP ₹3499,(28% OFF),4.5,218 Ratings,"PRODUCT DESIGN DETAILS:
A pair of round toe orange and lime green cricket shoes,has regular styling
Lace-up detail 
Synthetic & Mesh Upper provides breathability & durabilty
Brand logo print
Cushioned footbed
Textured and patterned outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Low boot construction with lace closure
PUMA Logo, Rubber Outsole for traction
Warranty: 3 months
Warranty provided by brand/manufacturer
PRODUCT STORY :
Look fantastic with the PUMA EvoSpeed V2 Cricket Youth Shoes an all season favorite , perfect for leisure.",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,,,Medium,,,All-Rounder,,,3 months,
max,Girls Textured Slip-On Running Shoes,₹639,MRP ₹799,(20% OFF),4.4,19 Ratings,"A pair of green textured running shoes, has regular styling, slip-on detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
max,Girls Textured Slip-On Running Shoes,₹639,MRP ₹799,(20% OFF),4.2,20 Ratings,"A pair of blue textured running shoes, has regular styling, slip-on detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
max,Boys Lace-Up Walking Shoes,₹539,MRP ₹899,(40% OFF),3.5,15 Ratings,"A pair of olive green and white sports shoes, has regular styling, lace-up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,Outdoor,2,,,
BAESD,Boys HUNTER LED Anti-Skid Sole Waterproof Velcro Walking Shoes,₹499,MRP ₹999,(50% OFF),4.5,6 Ratings,"A pair of teal blue and white walking shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole

Features:
LED 
Anti-Skid Sole
Waterproof ",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,Road Running,,Outdoor,2,1 pair of shoes,,
Puma,Kids Black Electrify Nitro 2 Running Shoes,₹5024,MRP ₹7499,(33% OFF),4.1,50 Ratings,"Special Technology:
NITRO foam: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction
Features:
A pair of black shoes, has regular Styling, lace-ups detail
Textile Upper
Cushioned footbed
Textured and patterned outsole
Built-in heel lock
NITRO foam midsole
Warranty: 3 months
Warranty provided by Brand owner/Manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,Medium,All-Rounder,,,3 months,
Puma,Kids Black Comet 2 Alt Running Shoes,₹1875,MRP ₹2799,(33% OFF),4.5,62 Ratings,"Special Technology:
CMEVA: PUMA's compression-moulded EVA material for lightweight performance.

Features:
A pair of black running shoes, has regular Styling, lace-ups detail
Textile upper
Cushioned footbed
Cushioned midsole for comfort
Textured and patterned outsole
Warranty: 3 months
Warranty provided  by Brand/Manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,Outdoor,,,3 months,
Nike,Kids Star Runner 3 Dream Running Non-Marking Shoes,₹3595,MRP ₹3995,(10% OFF),4.5,6 Ratings,"Special Technology
All About Imagination - This Dream edition encourages kiddos to aspire and believe that anything is possible. That message is revealed through a supersoft puffy cloud-like Swoosh logo, plus colors and graphics inspired by the sky.
Play Ready Lightweight mesh on the front of the shoe helps little feet stay cool and gives toes wiggle room. Synthetic leather around the heel creates stability and durability. Strappy Support A hook-and-loop strap and elastic laces make these kicks so easy to take on and off.
Star Studded Traction - The rubber sole features grooves designed for multi-directional traction. A star is molded near the toe to depict a shooting star across the sole. Foam cushioning underfoot and a soft insole feel soft and plush. 
Product Details
A pair of blue running shoes, has regular Styling, lace-ups detail
An overlay across the toe tip makes it extra durable for kiddos who drag their toes
The waterfall shape around the ankle (with extra padding) provides slip-in comfort
Elastic laces Hook-and-loop strap
Warranty: 6 months against manufacturing defects (not valid on products with more than 20% discount)
Warranty provided by brand/manufacturer
About the shoe
Nike Star Runner 3 Dream Little Kids' Shoe JUST DREAM IT. No dream is too big with the Nike Star Runner 3 Dream. Whether its sports, fantasies or the futurethe skys the limit for tomorrows superstars. The cloud-inspired Swoosh and sky graphics bring everything to life on these play-ready kicks. Plus, a special box and art project are included, so what are you waiting for?",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,Medium,,,All-Rounder,2,,6 months,
Puma,Kids ULTRA PLAY FG/AG Youth Football Boots,₹3149,MRP ₹4499,(30% OFF),3.9,14 Ratings,"PRODUCT DESIGN DETAILS:
Closure: Lace-Up
Midsole drop: Regular
Main materials: Synthetic, Rubber
Product color: Black
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
PRODUCT STORY:
Just when they think you couldnt get any faster you do. the ultra play jr features a lightweight yet durable synthetic upper enhanced with deboss and print details fused to a tpu speedplate outsole that ensures optimal traction and propulsion. Ultra is too fast for them.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,1 pair of sports shoes,3 months,
Puma,Kids Ultra Play Football Shoes,₹3399,MRP ₹3999,(15% OFF),4.1,26 Ratings,"Features:
A pair of orange football shoes, has regular styling, lace-up detail
Textile upper
Cushioned footbed
IT: Indoor Training
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand owner/Manufacturer
About the shoes:
Turn seconds into records with the ULTRA Play Indoor Sports Shoes. It features a lightweight synthetic upper fused to an indoor training outsole that ensures optimal traction and propulsion. Not even you knew you could be this fast.",Football,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Long Distance,Long,Indoor,,,3 months,
Puma,Unisex Kids Textured Electrify Nitro 2 Youth Running Shoes,₹4874,MRP ₹7499,(35% OFF),4.1,50 Ratings,"Special Technologies:
NITRO foam: Advanced nitrogen-injected foam designed to provide superior responsiveness and cushioning in a lightweight package.
PROFOAMLITE: Extremely lightweight EVA designed to cushion your landing and propel each step.
PUMAGRIP: Durable performance rubber compound designed for all-surface traction.
Product Design Details:
A pair of orange and black running shoes, has regular styling, lace-ups detail
Engineered mesh upper
Cushioned footbed
Textured and patterned rubber outsole
Low boot
Built-in heel lock
NITRO foam midsole
Rolled collar with plenty of cushion
PUMAGRIP enhancing safety in the outsole rubber
Warranty: 3 months
Warranty to be provided by the brand/manufacturer
About The Product:
The perfect choice for runners just starting out, the Electrify NITRO 2 delivers the cushioning and reliability needed your daily jog. The dual midsole contains our lightweight, nitrogen-injected NITRO foam in the heel alongside our sturdier PROFOAMLITE throughout the rest of the midsole, allowing for an airy, cushioned ride. Weve revamped the breathable mesh upper with a futuristic look and retooled the rest of the shoe with a rolled collar, built-in heel lock, and a special cats tongue to secure the heel for every run.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,,All-Rounder,,,3 months,
Puma,Unisex Kids Textured Ultra Play Youth Indoor Training Football Shoes,₹3399,MRP ₹3999,(15% OFF),4.1,26 Ratings,"Product Design Details:
A pair of black and white textured indoor training football shoes, has regular styling, lace-ups detail
Lightweight PU upper
Cushioned footbed
Textured, patterned, and low-profile non-marking rubber outsole
IT: Indoor Training
PUMA Formstrip on lateral side
Regular tongue construction
PUMA Youth: Recommended for older kids between 8 and 16 years
Warranty: 3 months
Warranty to be provided by the brand/manufacturer
About The Product:
Turn seconds into records with the ULTRA Play Indoor Sports Shoes. It features a lightweight synthetic upper fused to an indoor training outsole that ensures optimal traction and propulsion. Not even you knew you could be this fast.",Football,PU,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,Flat,Medium,Long Distance,Long,Indoor,,,3 months,
Puma,Kids Coral Ultra Play IT Football Non-Marking Sports Shoes,₹3399,MRP ₹3999,(15% OFF),4,13 Ratings,"SPECIAL TECHNOLOGIES:
Adaptive compression technology that locks down your foot and allows for more explosive movements on the pitch

PRODUCT DESIGN DETAILS:
A pair of coral shoes, has regular Styling, lace-ups detail
Synthetic Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months

PRODUCT STORY :
Unleash unlimited potential in the power and performance of our Ultra collection.
Our Ultra Play Football Boots Youth are engineered to keep you a step ahead of the pack.
From their striking design to their lightweight stride, these football boots provide the edge you need to shut out the competition.
Suitable for indoor training.",Football,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,Medium,Long Distance,Long,All-Rounder,,,3 months,
Puma,Unisex Kids Yellow FUltra Play IT Football Shoes,₹3399,MRP ₹3999,(15% OFF),4,13 Ratings,"PRODUCT DESIGN DETAILS:
A pair of yellow shoes, has regular Styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand/manufacturer
PRODUCT STORY :
Unleash unlimited potential in the power and performance of our Ultra collection. Our Ultra Play Football Boots Youth are engineered to keep you a step ahead of the pack. From their striking design to their lightweight stride, these football boots provide the edge you need to shut out the competition. Suitable for indoor training.",Football,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,Medium,Long Distance,Long,All-Rounder,,,3 months,
ABROS,Kids Rock Walking Sports Shoes,₹546,MRP ₹569,(4% OFF),4.1,96 Ratings,"A pair of white shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Mid-Top,Marking,Fixed,Neutral,High,High,Track,Medium,All-Rounder,2,,30 days,Air
toothless,Boys Black Sports Shoes,₹479,MRP ₹1599,(70% OFF),3.9,13 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,,,,
Puma,Kids Coarse Youth Running Shoes,₹1749,MRP ₹3499,(50% OFF),4.4,142 Ratings,"PRODUCT DESIGN DETAILS:
Sport: Running
Pattern: Pattern
Midsole drop: Regular
Main materials: Textile, Rubber
Product color: White, Black
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
PRODUCT STORY:

Designed for the young runner who's not only fierce in their fitness goals but also in their style, these shoes are a perfect fit for those active days. These shoes feature a breathable textile upper and a zoned rubber outsole tailored for traction, propelling you forward with confidence. The contrast formstrip adds a sporty touch, embodying the freedom of your run.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Low,Road Running,Short,All-Rounder,2,1 pair of sports shoes,3 months,
max,Boys Lace-Up Running Shoes,₹809,MRP ₹899,(10% OFF),4.1,22 Ratings,"A pair of navy blue shoes, has regular Styling, lace-ups detail
Upper PU
Cushioned footbed
Textured and patterned outsole",Running,PU,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,1 pair,,
DECATHLON By Decathlon,Boys Soft 140 Walking Shoes,₹1199,MRP ₹1699,(Rs. 500 OFF),4.8,5 Ratings,"Features
A pair of coral pink walking shoes, has regular styling, velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Flex grooves in the sole keep them supple
Lightweight
The rip-tab and elasticated laces help your child be independent.
Product Design Details
Product Colour: Pink
Warranty: 2 years
Warranty provided by the brand/manufacturer
About the DECATHLON By Decathlon Boys Soft 140 Walking Shoes
The Soft 140 trainers are designed for your kids' everyday sports activities. These super lightweight, waterproof trainers are the perfect choice for your child to wear during sport sessions or on the playground.",Walking,Synthetic,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,All-Rounder,2,1 sports shoes,2 years,
max,Boys Lace-Up Running Shoes,₹719,MRP ₹899,(20% OFF),4.4,20 Ratings,"A pair of grey shoes, has regular styling, lace-ups detail
Upper PU
Cushioned footbed
Textured and patterned outsole",Running,PU,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,One,,
ABROS,Boys NANO Lace-Up Walking Shoes,₹995,MRP ₹1119,(11% OFF),4.2,168 Ratings,"A pair of off white and pink walking shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,
Trenz,Kids Textured Velcro Running Shoes,₹839,MRP ₹1399,(40% OFF),4.5,23 Ratings,"A pair of navy blue textured running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,6 months,
ABROS,Kids Deluxe Running Sports Shoes,₹781,MRP ₹849,(8% OFF),4.6,27 Ratings,"A pair of navy blue running shoes, has mid-top Styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Velcro,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
ASICS,Kids CONTEND 8 PS Sports Shoes,₹2799,MRP ₹3999,(30% OFF),4.3,8 Ratings,"PRODUCT DESIGN DETAILS:
Pattern: Textured
Midsole drop: Regular
Main materials: Synthetic, Rubber
Product color: Pink, White
ABOUT THE PRODUCT:

THE CONTEND 8 PS (PRE- School) shoe evolves the franchise running collections design language with a new mesh upper that improves the fit while increasing airflow to keep feet cool. Functional for everyday adventures, this shoe also features a toe stitching and solid rubber outsole to improve durability..",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,Outdoor,2,1 pair of shoes,,
Artengo By Decathlon,Kids Blue Tennis Shoes,₹999,MRP ₹1299,(Rs. 300 OFF),4.4,54 Ratings,"A pair of blue & white tennis sports shoes, has regular styling, velcro detail
PU upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by brand/manufacturer",Tennis,PU,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,All-Rounder,,,2 years,
Reebok,Boys Textured Stride K Running Shoes,₹1139,MRP ₹1899,(40% OFF),4.2,9 Ratings,"PRODUCT DESIGN DETAILS :
A pair of grey and white textured with logo printed detail round toe sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Synthetic outsole
ABOUT THE PRODUCT :

Light weighted and very flexible. It has Breathable Mesh and attractive styling. A lightweight and flexible shoe comprising of a mesh upper for breathability. Full EVA outsole that balances heel cushioning with responsiveness. Best for a daily running session.",Running,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,,,All-Rounder,,,,
Reebok,Girls Rush Runner 4.0 Mesh Running Shoes,₹2159,MRP ₹3599,(40% OFF),3.8,16 Ratings,"PRODUCT DESIGN DETAILS :
A pair of lavender & blue self design with brand logo-design details round toe sports shoes with regular styling has a lace-up closure
Mesh upper
Cushioned footbed
EVA midsole
Mesh upper
EVA midsole for lightweight cushioning",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,,,All-Rounder,,,,
ABROS,Boys Ranger Running Sports Shoes,₹1423,MRP ₹1599,(11% OFF),4.1,68 Ratings,"A pair of navy blue running shoes, has mid-top Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by the brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
ABROS,Kids Deluxe Running Sports Shoes,₹759,MRP ₹799,(5% OFF),4.1,24 Ratings,"A pair of navy blue running shoes, has mid-top Styling, velcro detail
With Air Technology
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Velcro,Mid-Top,Marking,Fixed,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
Action,Kids Mesh Running Non-Marking Sports Shoes,₹1333,MRP ₹2299,(42% OFF),4.2,85 Ratings,"A pair of grey running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,Medium,Outdoor,,,,Air Max
Power,Boys Textile Walking Sports Shoes,₹2124,MRP ₹2499,(15% OFF),4.4,28 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Textile Upper
Cushioned footbed
Textured and patterned outsole",Walking,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,Neutral,Flat,Medium,,Medium,Soft,2,,,
NIVIA,Rabona 2.0 Turf Shoes,₹1116,MRP ₹1175,(5% OFF),3.4,8 Ratings,"A pair of orange shoes, has regular styling, velcro detail
Cushioned footbed
Textured and patterned outsole",Football,Synthetic,Velcro,Regular,Marking,Fixed,,,High,,,Outdoor,2,,,
ASIAN,Boys Mesh Running Marking Shoes,₹944,MRP ₹2099,(55% OFF),4,43 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty is provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
ABROS,Boys Air Lace-Up Running Shoes,₹1029,MRP ₹1119,(8% OFF),4.5,31 Ratings,"A pair of grey shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Track,Medium,All-Rounder,,,30 days,Air
Sparx,Kids Boost Running Shoes,₹849,MRP ₹999,(15% OFF),4.7,63 Ratings,"A pair of grey running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Mid-Top,Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair,,Boost
Pantaloons Junior,Girls Walking Shoes,₹899,MRP ₹1199,(25% OFF),4.7,30 Ratings,"A pair of blue walking shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,2,one,,
Pantaloons Junior,Girls White Running Non-Marking Shoes,₹764,MRP ₹899,(15% OFF),4.5,12 Ratings,"A pair of white shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
TUSKEY,Boys Mesh Anti Skid Velcro Running Sneakers,₹999,MRP ₹1299,(Rs. 300 OFF),4.8,8 Ratings,"A pair of grey sneakers ,has mesh upper
Cushioned footbed
Textured and patterned outsole
Features : 
Anti Skid",Running,Mesh,Velcro,Regular,Marking,Removeable,,Medium,Medium,Road Running,Medium,Outdoor,2,,,
Sparx,Unisex Kids White Textile Sneakers,₹697,MRP ₹775,(10% OFF),4.2,33 Ratings,"A pair of white shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,,,
Pantaloons Junior,Boys Blue Running Non-Marking Shoes,₹699,MRP ₹999,(30% OFF),4.3,16 Ratings,"A pair of blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
ASIAN,Boys Mesh Non-Marking Running Sports Shoes,₹799,MRP ₹999,(20% OFF),4.1,8 Ratings,"A pair of black shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days",Running,Mesh,Lace-Ups,Mid-Top,Non-Marking,No Cleats,Neutral,,Medium,Road Running,,All-Rounder,2,pair,28 days,
ABROS,Kids Ai 2 N Kids Running Sports Shoes,₹825,MRP ₹949,(13% OFF),4,151 Ratings,"A pair of navy blue running shoes, has mid-top Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
Kipsta By Decathlon,Unisex Kids Black & Orange PU Football Shoes,₹1023,MRP ₹1699,(Rs. 676 OFF),4.2,147 Ratings,"Kipsta By Decathlon developed these Agility 100 football boots for beginner youth footballers playing once or twice a week on dry grass pitches

Design Details
A pair of black & orange football sports shoes, has regular styling, lace-up detail
PU upper
Multiple small molded studs for good grip and safety on grass pitches
Textured and patterned outsole
Warranty: 2 years
Warranty provided by brand/manufacturer",Football,PU,Lace-Ups,Regular,Non-Marking,Fixed,,,Medium,,,Indoor,,,2 years,
Sparx,Boys Mesh Running Lace-Up Shoes,₹1199,MRP ₹1499,(20% OFF),4.6,30 Ratings,"A pair of green shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,Air
Action,Kids Mesh Running Non-Marking Sports Shoes,₹1333,MRP ₹2299,(42% OFF),4.4,38 Ratings,"A pair of grey running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,Medium,Outdoor,,,,Air Max
ABROS,Boys Winston-N Running Sports Shoes,₹1029,MRP ₹1119,(8% OFF),4.3,60 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
Sparx,Boys Mesh Running Shoes,₹1199,MRP ₹1499,(20% OFF),3.8,10 Ratings,"A pair of navy blue,white & orange shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,,,Medium,,,Outdoor,2,,,Air
Pantaloons Junior,Boys Blue Textile Running Non-Marking Lace-Up Shoes,₹959,MRP ₹1199,(20% OFF),3.5,13 Ratings,"A pair of blue shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
toothless,Boys Mesh Running Sports Shoes,₹599,MRP ₹1999,(70% OFF),4,7 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,,,,
max,Boys Blue Running Non-Marking Shoes,₹799,MRP ₹999,(20% OFF),4.4,68 Ratings,"A pair of blue shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,PU,Velcro,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
Pantaloons Junior,Boys Olive Green Textile Walking Non-Marking Shoes,₹959,MRP ₹1199,(20% OFF),4.2,30 Ratings,"A pair of olive green shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,Road Running,Long,Outdoor,,,,
ABROS,Boys Kaza Running Sports Shoes,₹789,MRP ₹849,(7% OFF),2.8,6 Ratings,"A pair of teal shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,2,,30 days,Air
OFF LIMITS,Girls Mesh Running Non-Marking Lace-Up Shoes,₹1494,MRP ₹2299,(35% OFF),4.7,12 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
